 ,AZ-Phoenix,CA-Los Angeles,CA-San Diego,CA-San Francisco,CO-Denver,DC-Washington,FL-Miami,FL-Tampa,GA-Atlanta,IL-Chicago,MA-Boston,MI-Detroit,MN-Minneapolis,NC-Charlotte,NV-Las Vegas,NY-New York,OH-Cleveland,OR-Portland,TX-Dallas,WA-Seattle,Composite-10,Composite-20,National-US
January 2020,202.34,292.37,268.47,272.00,227.31,238.02,248.38,226.24,156.70,144.50,227.26,129.41,181.05,169.01,197.91,203.17,128.39,245.12,195.60,262.96,233.69,221.19,214.78
February 2020,203.85,292.80,267.58,272.85,227.96,238.66,250.29,227.52,157.52,145.17,227.95,129.75,183.35,169.66,199.19,204.40,129.35,246.17,195.77,264.03,234.46,222.05,215.71
March 2020,204.93,293.41,268.37,273.16,227.61,239.42,251.11,229.27,157.65,145.97,228.55,130.41,183.95,170.13,199.94,204.51,130.19,245.95,195.01,264.78,234.90,222.47,216.35
April 2020,206.49,293.88,269.91,271.66,227.97,238.76,251.80,230.29,157.96,146.02,228.74,130.23,185.55,170.85,200.51,204.43,131.42,245.44,194.79,264.64,234.97,222.68,216.86
May 2020,207.17,293.90,269.90,270.92,228.24,239.01,251.70,230.53,157.98,145.98,229.03,130.16,185.03,171.33,199.76,204.08,131.54,245.94,194.93,264.42,234.90,222.69,217.10
June 2020,208.23,294.88,271.70,270.80,228.96,239.68,251.73,230.87,158.53,145.19,229.05,130.95,185.78,172.25,198.33,204.42,131.75,246.85,195.58,265.64,235.04,223.10,217.74
July 2020,210.21,299.42,275.01,273.90,230.53,242.66,252.72,232.09,159.43,146.43,231.82,132.51,186.65,173.59,199.10,205.24,132.35,249.85,196.70,269.42,237.42,225.16,219.46
August 2020,213.28,304.87,281.76,278.82,233.69,246.28,255.75,235.15,160.80,148.49,235.80,134.23,188.64,175.72,201.81,208.58,134.68,253.56,199.41,275.45,241.41,228.86,222.61
September 2020,217.82,309.27,288.09,284.42,236.74,250.15,259.24,238.34,162.84,150.84,240.04,136.09,191.34,178.20,204.12,212.14,136.49,258.08,202.17,281.97,245.33,232.57,226.00
October 2020,222.31,313.34,294.40,289.68,240.66,253.88,263.27,242.32,165.19,152.70,245.15,138.15,194.26,180.98,206.79,216.30,139.30,261.99,205.92,287.73,249.51,236.57,229.82
November 2020,226.31,317.08,299.20,293.07,244.21,256.93,267.06,245.84,167.55,154.09,249.16,140.05,196.69,183.46,209.22,220.56,140.60,265.41,208.44,292.26,253.19,240.01,233.16
December 2020,230.08,321.04,303.23,295.96,247.78,259.70,271.14,249.77,169.74,155.45,252.74,141.88,198.84,185.51,212.29,223.91,142.82,268.10,211.24,296.65,256.51,243.20,236.28
January 2021,234.74,324.27,307.21,299.67,250.56,262.41,274.73,253.75,171.77,156.81,256.23,143.59,200.28,187.90,215.41,227.08,144.02,271.48,213.80,300.87,259.50,246.08,239.18
February 2021,239.57,328.09,313.31,302.72,254.12,264.53,278.27,256.93,173.39,157.70,259.32,144.97,202.33,190.05,217.89,229.47,145.36,274.75,217.15,305.58,262.38,249.02,242.08
March 2021,246.06,332.56,319.61,306.13,258.39,267.64,282.37,260.91,175.37,159.12,262.43,146.47,203.95,193.71,221.47,231.95,146.88,279.20,221.05,312.26,265.66,252.39,245.37
April 2021,252.47,336.81,327.68,312.12,262.75,270.44,287.64,265.68,177.58,160.55,265.45,147.97,206.42,196.77,225.50,234.58,148.84,283.93,225.55,318.85,269.38,256.22,249.15
May 2021,260.28,343.33,335.62,319.81,267.71,273.72,293.43,271.90,180.79,162.28,268.48,150.09,208.61,200.45,230.62,237.69,150.54,288.65,230.69,325.92,274.04,260.90,253.64
June 2021,268.72,349.64,344.68,329.91,273.56,276.51,302.30,280.24,184.80,163.85,271.36,152.02,211.01,204.91,237.41,240.76,153.52,294.29,236.80,332.25,278.74,265.82,258.58
July 2021,278.09,356.34,351.49,333.72,279.43,279.26,309.28,288.53,189.06,165.40,275.08,153.84,213.31,209.75,243.53,243.20,154.17,298.60,243.08,338.43,282.97,270.14,262.92
August 2021,284.23,361.28,355.95,338.04,284.06,281.21,316.77,296.10,193.32,166.92,277.67,155.36,214.88,213.77,249.61,245.47,155.48,302.62,248.53,342.94,286.52,274.02,267.15
September 2021,289.78,366.08,360.47,340.96,287.14,282.70,324.69,304.38,197.29,168.46,280.44,156.66,216.02,218.13,254.54,247.16,156.08,305.20,252.83,347.99,289.43,277.18,270.58
October 2021,294.43,371.88,366.20,343.69,289.80,283.61,331.21,310.42,200.05,170.03,282.39,157.98,216.76,221.82,259.47,249.01,158.06,308.60,256.84,353.59,292.60,280.47,273.78
November 2021,299.48,377.61,372.78,346.75,293.39,285.38,338.47,317.31,203.16,171.85,282.87,159.29,218.69,225.41,263.03,251.11,159.84,311.73,260.91,360.60,295.94,283.99,277.09
December 2021,305.08,382.69,381.90,352.09,298.28,287.53,345.53,323.35,206.71,174.24,286.62,161.23,221.32,229.86,266.52,253.86,161.76,316.14,266.37,368.03,300.05,288.26,280.98
January 2022,311.46,388.64,390.95,362.57,302.84,291.93,352.12,332.27,210.59,175.96,290.31,163.04,224.01,234.06,271.94,256.59,163.77,319.43,272.42,375.23,304.67,292.89,285.28
February 2022,318.42,400.41,404.43,371.71,310.71,296.17,361.14,340.73,215.20,178.51,297.16,165.00,226.57,239.05,277.87,260.40,165.92,326.83,279.76,386.66,311.52,299.57,290.66
March 2022,325.75,409.49,413.87,379.39,319.30,301.93,372.72,351.77,220.46,179.57,300.88,168.83,229.10,244.34,284.36,264.49,168.43,332.90,288.85,398.19,317.60,305.86,296.34
April 2022,331.31,415.33,420.47,382.94,324.52,304.54,383.08,361.15,224.46,181.29,305.39,170.45,231.71,249.08,289.43,268.97,170.08,338.05,295.42,401.67,322.36,310.57,300.79
